id;PoiteId;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration;Latitude;Longitude;Altitude;FilterId
3038806;2010669;1632127883559;2;3;-9273.99666481017;436343.0;20.0206561087554;12.96;29.8407475974136;30.6489874999931;0.0;0
3038807;2010669;1632127883559;2;1;-8565.00348655203;436343.0;20.0206561087554;12.96;29.8407475974136;30.6489874999931;0.0;0
3039447;2011083;1632127884231;4;1;-6664.73487873457;437270.0;24.2361362264443;12.92;29.8333007442419;30.6377370172547;0.0;0
3039448;2011083;1632127884231;2;1;-8573.99725862818;437018.0;49.6805706492374;13.25;29.8333007442419;30.6377370172547;0.0;0
3039449;2011083;1632127884231;4;2;1885.6942119666;437270.0;24.2361362264443;12.92;29.8333007442419;30.6377370172547;0.0;0
3039451;2011085;1632127884234;2;1;-8585.98895472972;437016.0;49.6859967869357;13.25;;;;0
3039463;2011094;1632127884252;4;1;-6637.75356250611;437345.0;31.6705755907519;13.06;;;;0
3039483;2011105;1632127884266;4;1;-6640.7514865315;437273.0;25.4444546758774;13.0;;;;0
3039487;2011109;1632127884277;2;1;-8570.9993346028;436223.0;48.991037180239;13.03;;;;0
3039511;2011122;1632127884313;4;2;1870.70459183968;437290.0;27.3131118132406;13.24;;;;0
3039531;2011132;1632127884324;2;1;-8565.00348655203;437164.0;42.7516852426989;12.71;;;;0
3039575;2011156;1632127884374;2;1;-8600.97857485664;437632.0;36.9945288839266;12.88;;;;0
3040827;2011975;1632127885573;2;1;-8469.06991773974;436965.0;20.0618215395428;12.87;;;;0
3040828;2011976;1632127885576;2;1;-8487.05746189204;436466.0;20.5022144116606;12.91;;;;0
3040829;2011977;1632127885580;2;1;-8463.07406968897;436389.0;20.0823313238966;12.85;;;;0
3059701;2022832;1632127909141;2;1;-8544.01801837434;435708.0;23.9390433817548;12.36;;;;0
3059702;2022833;1632127909144;2;1;-8720.895535872;437208.0;20.9584710463437;13.25;;;;0
3063286;2025091;1632127913124;2;3;-9657.73094005933;437291.0;21.5490885349424;13.22;;;;0
3063292;2025096;1632127913128;2;3;-9663.7267881101;437310.0;21.4621419667086;13.16;;;;0
3063294;2025098;1632127913131;2;3;-9663.7267881101;437308.0;21.3566440345014;13.16;;;;0
3063903;2025452;1632127913835;4;1;-6565.80338589689;437304.0;34.6646641641237;12.87;;;;0
